Feature,Importance
CASES_MM_7_t-0,0.75233346
CASES_MM_7_t-1,0.0638664
CASES_LAG_1_t-0,0.051574804
CASES_MM_7_t-2,0.031686224
CASES_MM_14_t-2,0.014863551
CASES_LAG_1_t-6,0.009166559
CASES_MM_14_t-3,0.0072098095
CASES_MM_7_t-3,0.0053014266
CASES_MM_14_t-0,0.0046403105
CASES_MM_14_t-1,0.004492462
CASES_LAG_1_t-4,0.004408503
CASES_LAG_1_t-5,0.003785405
CASES_LAG_1_t-3,0.0034973763
CASES_LAG_1_t-1,0.0031389715
CASES_LAG_1_t-2,0.002985708
CASES_MM_7_t-4,0.002892212
CASES_MM_28_t-0,0.00262937
CASES_LAG_6_t-6,0.002350075
CASES_MM_14_t-4,0.0022722168
CASES_MM_21_t-1,0.0020788673
CASES_MM_21_t-0,0.001880076
CASES_LAG_4_t-6,0.0018594777
CASES_LAG_2_t-6,0.0018364363
CASES_MM_28_t-1,0.0016734502
CASES_LAG_5_t-6,0.0016163117
CASES_MM_14_t-5,0.0015390376
CASES_MM_21_t-2,0.0015135765
CASES_MM_21_t-3,0.0014618312
CASES_MM_28_t-2,0.0013521251
CASES_LAG_3_t-6,0.0013098756
CASES_MM_28_t-3,0.0011484171
CASES_MM_14_t-6,0.0010191643
CASES_MM_28_t-5,0.00097056583
CASES_MM_21_t-6,0.00092405325
CASES_MM_28_t-4,0.0008577618
CASES_MM_21_t-5,0.0008419925
CASES_MM_7_t-5,0.0008078277
CASES_MM_7_t-6,0.0007812139
CASES_MM_28_t-6,0.0007654367
CASES_MM_21_t-4,0.0006676146
CASES_LAG_3_t-5,0.0
CASES_LAG_4_t-5,0.0
CASES_ACC_21_t-5,0.0
CASES_ACC_28_t-5,0.0
CASES_ACC_7_t-5,0.0
CASES_ACC_14_t-6,0.0
CASES_ACC_28_t-6,0.0
CASES_ACC_21_t-6,0.0
CASES_ACC_14_t-5,0.0
CASES_ACC_7_t-6,0.0
CASES_ACC_21_t-4,0.0
CASES_ACC_14_t-4,0.0
CASES_LAG_6_t-5,0.0
CASES_ACC_7_t-4,0.0
CASES_LAG_5_t-5,0.0
CASES_LAG_2_t-5,0.0
CASES_LAG_3_t-4,0.0
CASES_LAG_4_t-4,0.0
CASES_ACC_28_t-3,0.0
CASES_ACC_21_t-3,0.0
CASES_ACC_7_t-3,0.0
CASES_ACC_14_t-3,0.0
CASES_LAG_6_t-4,0.0
CASES_LAG_5_t-4,0.0
CASES_ACC_28_t-4,0.0
CASES_LAG_2_t-4,0.0
CASES_LAG_2_t-2,0.0
CASES_ACC_28_t-2,0.0
CASES_ACC_14_t-2,0.0
CASES_ACC_21_t-2,0.0
CASES_LAG_4_t-3,0.0
CASES_LAG_5_t-3,0.0
CASES_LAG_6_t-3,0.0
CASES_ACC_7_t-2,0.0
CASES_LAG_2_t-3,0.0
CASES_LAG_3_t-3,0.0
CASES_LAG_5_t-2,0.0
CASES_ACC_7_t-1,0.0
CASES_ACC_14_t-1,0.0
CASES_LAG_6_t-2,0.0
CASES_LAG_3_t-2,0.0
CASES_LAG_4_t-2,0.0
CASES_LAG_4_t-1,0.0
CASES_LAG_3_t-1,0.0
CASES_LAG_2_t-1,0.0
CASES_ACC_28_t-1,0.0
CASES_ACC_21_t-1,0.0
CASES_LAG_6_t-1,0.0
CASES_ACC_7_t-0,0.0
CASES_LAG_5_t-1,0.0
CASES_ACC_21_t-0,0.0
CASES_ACC_14_t-0,0.0
CASES_ACC_28_t-0,0.0
CASES_LAG_2_t-0,0.0
CASES_LAG_3_t-0,0.0
CASES_LAG_4_t-0,0.0
CASES_LAG_5_t-0,0.0
CASES_LAG_6_t-0,0.0
