Feature,Importance
CASES_MM_7_t-0,0.19179624
CASES_MM_7_t-1,0.039636195
CASES_LAG_2_t-5,0.03879384
RH_AVG_t-0,0.03360072
CASES_LAG_4_t-4,0.02408536
CASES_LAG_2_t-3,0.023496516
CASES_LAG_2_t-1,0.021807576
TEM_AVG_MM_28_t-6,0.018367222
TEM_AVG_MM_21_t-5,0.018208774
WEEK_OF_YEAR_t-1,0.016190205
TEMP_RANGE_MM_21_t-4,0.0142133655
TEMP_RANGE_MM_7_t-4,0.011907068
WEEK_OF_YEAR_t-5,0.011790162
TEMP_RANGE_MM_21_t-3,0.011773245
RH_MM_14_t-3,0.011172545
CASES_LAG_3_t-5,0.010855407
RAIN_ACC_21_t-5,0.009901442
CASES_LAG_1_t-1,0.009348974
CASES_MM_21_t-2,0.0092540765
CASES_LAG_1_t-6,0.009204419
TEM_AVG_MM_28_t-5,0.008505235
CASES_LAG_4_t-3,0.008280458
CASES_LAG_3_t-4,0.007778349
RAIN_ACC_21_t-2,0.007759526
CASES_LAG_5_t-2,0.0075072334
CASES_LAG_6_t-1,0.0071927398
CASES_LAG_1_t-0,0.0066287215
RH_MM_21_t-2,0.006539893
RAIN_ACC_14_t-5,0.0064049424
TEMP_RANGE_MM_21_t-2,0.006278475
SIGNIFICANT_RAIN_t-5,0.006265918
TEMP_RANGE_MM_28_t-4,0.0061783725
TEM_AVG_MM_7_t-3,0.006121201
RH_MM_7_t-0,0.0059319325
TEM_AVG_t-5,0.0059209624
TEMP_RANGE_MM_28_t-6,0.005693977
RH_MM_14_t-2,0.005623063
RH_MM_14_t-1,0.0054888413
RAIN_ACC_21_t-4,0.0053885975
TEM_AVG_MM_28_t-0,0.005165521
RAIN_ACC_21_t-0,0.0050604413
TEMP_RANGE_MM_28_t-0,0.004989111
RAIN_ACC_7_t-2,0.004929864
TEMP_RANGE_MM_7_t-1,0.0048968797
RH_MIN_t-1,0.004552103
CASES_LAG_4_t-6,0.004536724
CASES_MM_28_t-2,0.004511763
CASES_MM_14_t-5,0.004312547
RH_MM_14_t-6,0.0043093567
TEM_AVG_t-1,0.004108951
TEM_MIN_t-1,0.0040754583
CASES_MM_28_t-3,0.004044212
TEM_AVG_MM_7_t-0,0.003985662
RAIN_ACC_14_t-1,0.0039208992
RAIN_ACC_14_t-0,0.0039037885
CASES_MM_7_t-2,0.0038192153
TEM_AVG_t-2,0.0036907506
RH_MM_21_t-3,0.0035360684
RH_MAX_t-4,0.0034939856
RAIN_ACC_7_t-3,0.0032507218
TEMP_RANGE_MM_21_t-5,0.0032374472
