Feature,Importance
RAIN_ACC_14_t-0,0.14965272
CASES_LAG_1_t-0,0.14314918
CASES_MM_7_t-0,0.110358804
RAIN_ACC_14_t-1,0.100770704
CASES_MM_7_t-2,0.035437662
CASES_MM_28_t-1,0.019809494
RAIN_ACC_7_t-2,0.01630311
RAIN_ACC_14_t-2,0.014228814
CASES_MM_14_t-2,0.013992241
RAIN_ACC_14_t-3,0.011867433
CASES_MM_7_t-1,0.011138684
TEM_AVG_MM_28_t-0,0.01028475
RAIN_ACC_7_t-3,0.010135218
TEMP_RANGE_MM_14_t-1,0.009480986
CASES_LAG_4_t-1,0.0065870704
CASES_MM_14_t-1,0.0065165986
RH_MM_7_t-2,0.0063168067
TEM_AVG_MM_28_t-1,0.006278264
CASES_MM_7_t-3,0.005693871
TEM_AVG_MM_28_t-5,0.005551155
CASES_LAG_1_t-4,0.0054088775
RAIN_ACC_7_t-0,0.00511926
CASES_MM_14_t-4,0.005095098
WEEK_OF_YEAR_t-4,0.0048025865
TEM_AVG_MM_28_t-4,0.0046349876
CASES_LAG_5_t-1,0.0045943675
RH_MM_21_t-3,0.004489571
RAIN_ACC_7_t-1,0.0041752774
TEM_AVG_MM_7_t-3,0.003800461
CASES_MM_14_t-3,0.0037865236
RH_MIN_t-5,0.0035708006
CASES_MM_14_t-5,0.0035601712
TEMP_RANGE_MM_21_t-2,0.0035060123
RAIN_ACC_21_t-1,0.0033930244
RH_MM_21_t-2,0.0033301546
RAIN_ACC_28_t-4,0.0032536553
CASES_MM_21_t-4,0.0030049463
TEM_MAX_t-5,0.002865312
CASES_MM_21_t-0,0.0028641769
CASES_LAG_1_t-5,0.0028475497
CASES_MM_28_t-0,0.002805125
RAIN_ACC_21_t-3,0.0027877835
CASES_MM_14_t-0,0.0027746938
CASES_LAG_2_t-6,0.0027357864
RAIN_ACC_21_t-2,0.0026930368
TEM_AVG_MM_28_t-3,0.0026721107
TEMP_RANGE_MM_7_t-3,0.0026287006
CASES_LAG_2_t-2,0.0025866367
TEMP_RANGE_MM_14_t-5,0.0025610703
TEM_AVG_t-1,0.0025344943
WEEK_OF_YEAR_t-0,0.00253184
RAIN_ACC_7_t-4,0.0025186976
RAIN_ACC_28_t-0,0.0024924946
CASES_LAG_3_t-6,0.0023880799
RH_AVG_t-0,0.0023836542
TEM_AVG_MM_7_t-5,0.0023768998
TEMP_RANGE_MM_7_t-1,0.0023562089
TEM_MAX_t-0,0.0022614438
TEM_AVG_MM_14_t-4,0.002229625
TEMP_RANGE_MM_21_t-4,0.0022295788
TEM_MAX_t-1,0.002204363
RH_MM_14_t-1,0.0021758634
RH_MIN_t-3,0.002155541
CASES_LAG_2_t-1,0.0021416375
RH_MIN_t-0,0.0021405572
TEM_AVG_t-3,0.0021265077
TEM_AVG_MM_21_t-5,0.0020909035
TEM_AVG_t-0,0.0020805774
RH_MAX_t-3,0.0020756486
TEM_MIN_t-3,0.002024633
TEMP_RANGE_t-5,0.0020149818
RAIN_t-1,0.001971609
CASES_MM_21_t-1,0.001969237
WEEK_OF_YEAR_t-5,0.0019071552
CASES_MM_28_t-3,0.0018991405
RH_MM_28_t-2,0.0018974434
CASES_LAG_1_t-2,0.0018859486
RAIN_t-2,0.0018619343
CASES_LAG_2_t-5,0.0018602771
RH_MM_28_t-0,0.0018461504
TEM_AVG_MM_21_t-6,0.001817052
TEM_AVG_MM_28_t-2,0.001812615
TEM_MAX_t-2,0.0018065659
WEEK_OF_YEAR_t-2,0.0017483971
TEM_AVG_MM_21_t-3,0.0017457148
CASES_LAG_1_t-6,0.0017335919
RAIN_ACC_21_t-6,0.0017282648
RH_MM_7_t-3,0.0017146796
TEMP_RANGE_MM_28_t-1,0.0016783433
CASES_LAG_1_t-3,0.001669356
TEM_AVG_MM_21_t-4,0.0016675665
CASES_LAG_6_t-1,0.0016197475
CASES_LAG_4_t-2,0.0015888918
TEM_MAX_t-3,0.0015843606
TEM_AVG_t-5,0.0015780946
TEMP_RANGE_t-1,0.0015622905
RAIN_t-4,0.0015574258
TEM_MIN_t-2,0.0015357427
CASES_LAG_3_t-2,0.0015250614
RH_MM_28_t-6,0.001493586
CASES_LAG_3_t-4,0.0014857714
SIGNIFICANT_RAIN_t-3,0.0014670825
RH_MM_7_t-1,0.0014603784
RH_MAX_t-5,0.0014525282
RH_MM_7_t-0,0.0014278853
TEM_MAX_t-4,0.0014214392
RH_MM_7_t-4,0.0014084516
RH_MIN_t-4,0.0014020068
RH_MM_14_t-6,0.0013879484
RH_MM_14_t-0,0.0013815666
RH_MIN_t-1,0.0013804907
RH_MAX_t-2,0.0013777617
EXTREME_TEMP_t-0,0.0013583793
RH_MAX_t-1,0.0013418585
RH_AVG_t-1,0.0013415762
RAIN_ACC_21_t-5,0.0013301892
RH_MM_21_t-1,0.0013285503
TEM_AVG_MM_14_t-6,0.00132664
CASES_MM_28_t-5,0.0012919221
TEMP_RANGE_MM_21_t-3,0.0012873182
CASES_LAG_5_t-6,0.0012815497
CASES_LAG_6_t-6,0.0012769138
RAIN_t-0,0.0012603267
RAIN_ACC_21_t-0,0.0012449875
RH_AVG_t-3,0.0012232699
CASES_LAG_4_t-3,0.0012139615
TEM_MIN_t-1,0.0011794511
RH_MM_21_t-5,0.0011696283
RAIN_t-3,0.0011660078
TEM_AVG_MM_7_t-0,0.001140393
TEMP_RANGE_MM_28_t-5,0.001140133
RH_MM_7_t-6,0.0011262689
TEMP_RANGE_t-4,0.0011260981
CASES_MM_28_t-2,0.0011228885
RAIN_ACC_14_t-5,0.001083027
RAIN_ACC_7_t-5,0.0010790231
RH_MM_28_t-1,0.0010576135
RH_AVG_t-2,0.0010574758
CASES_LAG_4_t-6,0.0010567206
TEMP_RANGE_t-3,0.001054118
TEMP_RANGE_MM_7_t-6,0.0010483455
TEM_AVG_MM_21_t-0,0.0010338712
CASES_LAG_1_t-1,0.0010253034
RAIN_ACC_14_t-6,0.0010056953
CASES_MM_21_t-3,0.0009893351
TEMP_RANGE_MM_21_t-6,0.00095795665
RAIN_ACC_28_t-5,0.00095019245
TEMP_RANGE_MM_21_t-1,0.0009479175
TEM_AVG_t-2,0.000936512
RH_MAX_t-4,0.00092963735
CASES_MM_7_t-4,0.00091875315
RH_MAX_t-0,0.0009018082
TEMP_RANGE_t-0,0.0008957975
CASES_LAG_6_t-0,0.0008927141
CASES_LAG_5_t-0,0.0008803063
TEMP_RANGE_MM_7_t-2,0.0008500735
RAIN_ACC_14_t-4,0.0008294099
CASES_MM_28_t-6,0.0008186823
RAIN_ACC_21_t-4,0.0007963099
TEM_MIN_t-4,0.0007905844
TEMP_RANGE_t-6,0.00076434616
RAIN_ACC_7_t-6,0.0007577527
TEM_AVG_MM_28_t-6,0.0007361281
WEEK_OF_YEAR_t-6,0.0007264919
TEM_AVG_t-4,0.00072517723
TEMP_RANGE_t-2,0.00071515975
RH_MM_21_t-0,0.00071490346
TEM_AVG_MM_7_t-6,0.0007076617
RH_AVG_t-5,0.0006905958
TEM_AVG_MM_21_t-2,0.00068405486
CASES_LAG_3_t-0,0.00067186146
TEM_AVG_MM_7_t-1,0.0006669693
IDEAL_TEMP_t-2,0.0006545249
RH_MM_21_t-4,0.00065173017
RH_MAX_t-6,0.0006476317
RH_MM_7_t-5,0.0006462599
RAIN_t-5,0.00064264965
CASES_MM_7_t-6,0.00064014905
