Feature,Importance
CASES_ACC_7_t-0,0.20666306173343488
CASES_MM_7_t-0,0.1621098063243398
CASES_ACC_14_t-0,0.15646791555406098
CASES_MM_14_t-0,0.12321218421027356
CASES_MM_21_t-0,0.08667608282791903
CASES_ACC_21_t-0,0.08366721581461513
CASES_MM_28_t-0,0.0561363213837184
CASES_ACC_28_t-0,0.032634673772312016
CASES_LAG_1_t-0,0.0297754841397551
CASES_LAG_6_t-0,0.01785258463780582
CASES_LAG_2_t-0,0.014975795942444588
CASES_LAG_4_t-0,0.010202463684193804
CASES_LAG_5_t-0,0.009868151445233128
CASES_LAG_3_t-0,0.009758258529893848
