Feature,Importance
CASES_MM_28_t-0,0.7417359
CASES_MM_14_t-0,0.108628035
CASES_MM_7_t-0,0.04358612
CASES_MM_21_t-0,0.02372416
CASES_LAG_6_t-0,0.007984572
CASES_LAG_5_t-0,0.003972859
CASES_LAG_4_t-0,0.003527504
CASES_LAG_1_t-0,0.0033635395
TEMP_RANGE_t-0,0.0032956398
WEEK_OF_YEAR_t-0,0.0032379858
CASES_LAG_3_t-0,0.0030839948
CASES_LAG_2_t-0,0.002750239
TEMP_RANGE_MM_28_t-0,0.0025850073
RH_MM_28_t-0,0.0022206367
IDEAL_TEMP_t-0,0.002207832
TEM_AVG_MM_28_t-0,0.0022020272
RH_MM_21_t-0,0.002164274
TEM_AVG_MM_7_t-0,0.0021454366
RH_MM_7_t-0,0.0021441767
RH_AVG_t-0,0.0021434554
RAIN_ACC_7_t-0,0.0021259035
RAIN_ACC_21_t-0,0.0020900166
TEM_MIN_t-0,0.0020892175
TEM_AVG_MM_14_t-0,0.0020856254
TEMP_RANGE_MM_21_t-0,0.0020818145
RAIN_ACC_28_t-0,0.002070022
TEMP_RANGE_MM_14_t-0,0.002028318
TEMP_RANGE_MM_7_t-0,0.0020271223
RH_MM_14_t-0,0.0020202324
RH_MIN_t-0,0.001996966
TEM_AVG_MM_21_t-0,0.0019496228
RH_MAX_t-0,0.00194261
RAIN_ACC_14_t-0,0.0018401821
RAIN_t-0,0.0016965093
EXTREME_TEMP_t-0,0.0014869021
TEM_MAX_t-0,0.0014808108
SIGNIFICANT_RAIN_t-0,0.0013771203
TEM_AVG_t-0,0.00090768235
CASES_ACC_7_t-0,0.0
CASES_ACC_28_t-0,0.0
CASES_ACC_21_t-0,0.0
CASES_ACC_14_t-0,0.0
EXTREME_RAIN_t-0,0.0
RAIN_MM_7_t-0,0.0
RAIN_MM_14_t-0,0.0
RAIN_MM_21_t-0,0.0
RAIN_MM_28_t-0,0.0
