Feature,Importance
CASES_MM_7_t-0,0.41201374
EXTREME_TEMP_t-0,0.31374747
CASES_LAG_4_t-0,0.025595278
CASES_LAG_1_t-0,0.025330648
CASES_LAG_5_t-0,0.023931326
CASES_LAG_3_t-0,0.022140123
CASES_LAG_2_t-0,0.019034991
CASES_LAG_6_t-0,0.01792936
SIGNIFICANT_RAIN_t-0,0.010671645
TEM_AVG_MM_21_t-0,0.008849578
TEM_AVG_MM_7_t-0,0.0069521517
TEMP_RANGE_t-0,0.0067512537
RAIN_ACC_28_t-0,0.005783307
RAIN_ACC_21_t-0,0.0057502645
RAIN_ACC_14_t-0,0.00561337
RH_MM_14_t-0,0.005553525
WEEK_OF_YEAR_t-0,0.0051016975
TEMP_RANGE_MM_14_t-0,0.005078219
CASES_MM_14_t-0,0.005024105
RH_MIN_t-0,0.004803121
RH_MAX_t-0,0.004584276
RH_AVG_t-0,0.0045077614
TEM_AVG_MM_14_t-0,0.004476901
RH_MM_28_t-0,0.0043850346
TEM_MAX_t-0,0.0041677374
CASES_MM_28_t-0,0.0039265417
TEMP_RANGE_MM_7_t-0,0.0038672774
TEM_MIN_t-0,0.003780312
RH_MM_21_t-0,0.0037006703
TEMP_RANGE_MM_21_t-0,0.0036292437
TEMP_RANGE_MM_28_t-0,0.0035525397
RAIN_t-0,0.003533588
CASES_MM_21_t-0,0.0032476305
RH_MM_7_t-0,0.0032458466
RAIN_ACC_7_t-0,0.0032141001
TEM_AVG_MM_28_t-0,0.0024988982
TEM_AVG_t-0,0.0020867183
IDEAL_TEMP_t-0,0.001939866
RAIN_MM_7_t-0,0.0
RAIN_MM_14_t-0,0.0
EXTREME_RAIN_t-0,0.0
CASES_ACC_28_t-0,0.0
CASES_ACC_21_t-0,0.0
RAIN_MM_21_t-0,0.0
CASES_ACC_14_t-0,0.0
CASES_ACC_7_t-0,0.0
RAIN_MM_28_t-0,0.0
