Feature,Importance
CASES_ACC_7_t-0,0.20241693516240652
CASES_MM_7_t-0,0.20015114639745812
CASES_LAG_1_t-0,0.12643626678936543
CASES_ACC_14_t-0,0.11617992948555603
CASES_MM_14_t-0,0.11042946862865644
CASES_LAG_2_t-0,0.0708303405389614
CASES_ACC_21_t-0,0.05167346469677967
CASES_MM_21_t-0,0.039198611180746974
CASES_LAG_3_t-0,0.026442657288537265
CASES_ACC_28_t-0,0.014380498296075196
CASES_LAG_4_t-0,0.013916246547895
CASES_MM_28_t-0,0.012171122579535997
CASES_LAG_5_t-0,0.008240998817058788
CASES_LAG_6_t-0,0.007532313590967098
