Feature,Importance
CASES_ACC_7_t-0,0.1393366187161939
CASES_MM_7_t-0,0.13914999666517605
CASES_MM_14_t-0,0.10625354788861072
CASES_LAG_1_t-0,0.09726313047508338
CASES_LAG_2_t-0,0.0807115422198191
CASES_ACC_14_t-0,0.07976114722818649
CASES_ACC_21_t-0,0.06291730863622777
CASES_LAG_3_t-0,0.056412041615289184
CASES_ACC_28_t-0,0.054629598748444745
CASES_MM_21_t-0,0.050771857443738085
CASES_MM_28_t-0,0.035879638789989676
CASES_LAG_5_t-0,0.0342016831591597
CASES_LAG_4_t-0,0.03382108959549383
CASES_LAG_6_t-0,0.009345250548654866
RAIN_MM_28_t-0,0.002712309451817825
RAIN_ACC_28_t-0,0.002110612511089194
RAIN_MM_14_t-0,0.001986425047163167
RAIN_ACC_21_t-0,0.0018925438008536369
WEEK_OF_YEAR_t-0,0.001611118527480762
RAIN_ACC_14_t-0,0.001567413453888992
RAIN_MM_21_t-0,0.0013641792888674186
RH_MM_21_t-0,0.0009626488284142315
RAIN_MM_7_t-0,0.0009462002730176014
RAIN_ACC_7_t-0,0.0008731179810095838
RH_MM_28_t-0,0.0006327991939625538
TEMP_RANGE_MM_7_t-0,0.0005696461465892522
TEMP_RANGE_MM_28_t-0,0.0004718690391638867
TEMP_RANGE_MM_21_t-0,0.0003158694761112495
TEM_AVG_MM_28_t-0,0.00025116567787059226
TEM_MIN_t-0,0.00023268657235434633
TEM_AVG_MM_14_t-0,0.00023179519215403848
TEMP_RANGE_MM_14_t-0,0.0001687835547168452
TEM_AVG_MM_7_t-0,0.00012509438123800906
TEMP_RANGE_t-0,0.00011902479756661772
TEM_AVG_MM_21_t-0,8.022958731708267e-05
RH_MM_7_t-0,7.831505007291272e-05
RH_AVG_t-0,7.09271692046067e-05
RH_MIN_t-0,6.0507551902135336e-05
RAIN_t-0,5.104040047075935e-05
RH_MM_14_t-0,2.9809253230828422e-05
RH_MAX_t-0,1.644399678693436e-05
TEM_MAX_t-0,1.29720656173666e-05
TEM_AVG_t-0,0.0
EXTREME_RAIN_t-0,0.0
SIGNIFICANT_RAIN_t-0,0.0
IDEAL_TEMP_t-0,0.0
EXTREME_TEMP_t-0,0.0
