Feature,Importance
CASES_MM_7_t-0,0.79393125
CASES_LAG_1_t-0,0.04164356
CASES_LAG_5_t-0,0.015842518
CASES_LAG_6_t-0,0.012896135
CASES_LAG_3_t-0,0.01241929
CASES_LAG_4_t-0,0.010226939
CASES_LAG_2_t-0,0.009416144
RH_MM_21_t-0,0.0064692954
TEM_AVG_MM_7_t-0,0.006245939
WEEK_OF_YEAR_t-0,0.0055140094
TEM_AVG_MM_28_t-0,0.0052344394
RAIN_ACC_7_t-0,0.0045895376
TEM_AVG_MM_14_t-0,0.0045336364
CASES_MM_14_t-0,0.0039659236
RAIN_ACC_21_t-0,0.0039593554
CASES_MM_28_t-0,0.0038565004
RH_MM_14_t-0,0.0035817362
SIGNIFICANT_RAIN_t-0,0.0035136968
RH_MM_28_t-0,0.0035080751
TEMP_RANGE_MM_21_t-0,0.0034529245
RH_AVG_t-0,0.0033800518
TEMP_RANGE_MM_7_t-0,0.003226617
TEMP_RANGE_MM_14_t-0,0.0031759602
RAIN_ACC_14_t-0,0.0031556769
RH_MAX_t-0,0.0029641597
TEMP_RANGE_t-0,0.00292801
TEM_AVG_MM_21_t-0,0.0028941918
RAIN_ACC_28_t-0,0.0028524024
TEMP_RANGE_MM_28_t-0,0.00266187
RH_MM_7_t-0,0.0025851803
TEM_MIN_t-0,0.0024465863
RH_MIN_t-0,0.0024415534
IDEAL_TEMP_t-0,0.0023658285
CASES_MM_21_t-0,0.0022894172
TEM_MAX_t-0,0.0022591816
RAIN_t-0,0.002240409
TEM_AVG_t-0,0.001332044
CASES_ACC_7_t-0,0.0
RAIN_MM_28_t-0,0.0
RAIN_MM_7_t-0,0.0
RAIN_MM_21_t-0,0.0
CASES_ACC_21_t-0,0.0
CASES_ACC_28_t-0,0.0
RAIN_MM_14_t-0,0.0
EXTREME_TEMP_t-0,0.0
EXTREME_RAIN_t-0,0.0
CASES_ACC_14_t-0,0.0
