Feature,Importance
CASES_MM_7_t-0,0.3813552
CASES_LAG_1_t-0,0.2636639
TEMP_RANGE_MM_21_t-0,0.030830061
TEM_AVG_MM_28_t-0,0.019443372
WEEK_OF_YEAR_t-0,0.018143963
IDEAL_TEMP_t-0,0.016771829
RAIN_ACC_7_t-0,0.016761152
RH_MM_7_t-0,0.015223284
CASES_LAG_5_t-0,0.012730615
RH_MM_21_t-0,0.011860402
TEM_AVG_MM_7_t-0,0.011845134
TEMP_RANGE_MM_28_t-0,0.011256817
CASES_LAG_2_t-0,0.0112559125
RAIN_ACC_14_t-0,0.011197246
SIGNIFICANT_RAIN_t-0,0.010994989
RAIN_ACC_28_t-0,0.010768375
CASES_LAG_6_t-0,0.010251612
TEM_AVG_MM_21_t-0,0.010112594
RH_MM_28_t-0,0.009572743
TEMP_RANGE_MM_7_t-0,0.009269661
TEM_AVG_MM_14_t-0,0.008889143
CASES_LAG_3_t-0,0.008734141
CASES_LAG_4_t-0,0.008603841
RAIN_ACC_21_t-0,0.0074395104
RH_MM_14_t-0,0.007190134
TEMP_RANGE_t-0,0.0071046823
TEMP_RANGE_MM_14_t-0,0.0069586514
RH_MAX_t-0,0.0068000183
CASES_MM_28_t-0,0.0066545065
CASES_MM_14_t-0,0.0063589388
RH_AVG_t-0,0.0062352614
CASES_MM_21_t-0,0.00557346
TEM_MIN_t-0,0.0055427155
RAIN_t-0,0.0048240195
TEM_MAX_t-0,0.0038840354
RH_MIN_t-0,0.003344898
TEM_AVG_t-0,0.0025531547
CASES_ACC_14_t-0,0.0
CASES_ACC_7_t-0,0.0
CASES_ACC_28_t-0,0.0
CASES_ACC_21_t-0,0.0
EXTREME_TEMP_t-0,0.0
EXTREME_RAIN_t-0,0.0
RAIN_MM_7_t-0,0.0
RAIN_MM_14_t-0,0.0
RAIN_MM_21_t-0,0.0
RAIN_MM_28_t-0,0.0
