Feature,Importance
CASES_ACC_14_t-0,0.14812380401596736
CASES_ACC_21_t-0,0.14277863603532287
CASES_MM_14_t-0,0.12978589625351017
CASES_MM_28_t-0,0.11827944775528053
CASES_MM_21_t-0,0.11503276013663533
CASES_ACC_28_t-0,0.1052616932659069
CASES_MM_7_t-0,0.0900613087454756
CASES_ACC_7_t-0,0.07205031331414094
CASES_LAG_6_t-0,0.018026509823002794
CASES_LAG_3_t-0,0.01677336751847316
CASES_LAG_5_t-0,0.01419856088969099
CASES_LAG_2_t-0,0.010387125851899399
CASES_LAG_1_t-0,0.010046889242981295
CASES_LAG_4_t-0,0.009193687151712773
