Feature,Importance
CASES_MM_7_t-0,0.5420264
CASES_LAG_1_t-0,0.046253685
CASES_LAG_4_t-0,0.039742943
CASES_LAG_6_t-0,0.027249727
CASES_LAG_2_t-0,0.026409656
CASES_LAG_3_t-0,0.025368737
CASES_LAG_5_t-0,0.024766542
TEMP_RANGE_MM_28_t-0,0.017407792
TEMP_RANGE_t-0,0.017278416
RAIN_ACC_28_t-0,0.014876205
TEMP_RANGE_MM_14_t-0,0.013991279
TEM_AVG_MM_7_t-0,0.013706291
CASES_MM_14_t-0,0.01254588
RH_MAX_t-0,0.01231147
RH_MM_21_t-0,0.012205117
RH_AVG_t-0,0.010432299
TEMP_RANGE_MM_21_t-0,0.010202687
CASES_MM_21_t-0,0.009793577
TEM_AVG_MM_14_t-0,0.009621752
TEMP_RANGE_MM_7_t-0,0.00939167
RAIN_ACC_21_t-0,0.009382841
RH_MM_28_t-0,0.008433384
RH_MIN_t-0,0.008230324
RH_MM_14_t-0,0.007915946
RH_MM_7_t-0,0.0075444584
RAIN_ACC_7_t-0,0.0075290515
TEM_AVG_MM_28_t-0,0.0072304024
RAIN_ACC_14_t-0,0.007127772
TEM_MIN_t-0,0.006419309
TEM_AVG_MM_21_t-0,0.006246441
WEEK_OF_YEAR_t-0,0.005626816
RAIN_t-0,0.005443494
TEM_MAX_t-0,0.0052690743
CASES_MM_28_t-0,0.0047044987
TEM_AVG_t-0,0.0044029555
SIGNIFICANT_RAIN_t-0,0.002911145
RAIN_MM_14_t-0,0.0
RAIN_MM_7_t-0,0.0
EXTREME_RAIN_t-0,0.0
EXTREME_TEMP_t-0,0.0
RAIN_MM_21_t-0,0.0
IDEAL_TEMP_t-0,0.0
CASES_ACC_28_t-0,0.0
CASES_ACC_21_t-0,0.0
CASES_ACC_14_t-0,0.0
RAIN_MM_28_t-0,0.0
CASES_ACC_7_t-0,0.0
