Feature,Importance
CASES_MM_7_t-0,0.4233771
CASES_MM_14_t-0,0.16917402
TEMP_RANGE_t-0,0.049354445
RH_MM_14_t-0,0.038888816
TEMP_RANGE_MM_28_t-0,0.027290216
RH_MIN_t-0,0.021620171
CASES_MM_21_t-0,0.0214422
RH_MAX_t-0,0.019703282
RH_MM_21_t-0,0.018162984
RAIN_ACC_7_t-0,0.01815375
TEM_AVG_MM_21_t-0,0.015824487
RH_MM_7_t-0,0.014040864
CASES_LAG_2_t-0,0.013747536
SIGNIFICANT_RAIN_t-0,0.0124592185
RH_AVG_t-0,0.0104069775
RAIN_ACC_28_t-0,0.009950957
CASES_LAG_3_t-0,0.009941249
CASES_LAG_6_t-0,0.008835542
TEMP_RANGE_MM_21_t-0,0.008586358
TEM_AVG_MM_28_t-0,0.008148526
CASES_LAG_5_t-0,0.007865303
CASES_MM_28_t-0,0.0067422995
CASES_LAG_1_t-0,0.0064119776
TEMP_RANGE_MM_7_t-0,0.0060649104
CASES_LAG_4_t-0,0.00602638
TEM_AVG_MM_7_t-0,0.005330386
RAIN_ACC_14_t-0,0.0049426416
TEM_MIN_t-0,0.004880414
TEM_AVG_t-0,0.0047821556
TEMP_RANGE_MM_14_t-0,0.004647563
TEM_AVG_MM_14_t-0,0.0043925517
RAIN_t-0,0.004282789
RH_MM_28_t-0,0.004244966
RAIN_ACC_21_t-0,0.003703004
TEM_MAX_t-0,0.0036222867
WEEK_OF_YEAR_t-0,0.0029516737
RAIN_MM_28_t-0,0.0
CASES_ACC_21_t-0,0.0
IDEAL_TEMP_t-0,0.0
EXTREME_TEMP_t-0,0.0
RAIN_MM_7_t-0,0.0
RAIN_MM_21_t-0,0.0
CASES_ACC_7_t-0,0.0
EXTREME_RAIN_t-0,0.0
RAIN_MM_14_t-0,0.0
CASES_ACC_14_t-0,0.0
CASES_ACC_28_t-0,0.0
