Feature,Importance
CASES_MM_7_t-0,0.7903142
RH_MIN_t-0,0.024306249
WEEK_OF_YEAR_t-0,0.017680673
TEM_AVG_MM_21_t-0,0.014171139
RH_AVG_t-0,0.01405906
TEM_AVG_MM_7_t-0,0.012294156
RAIN_ACC_7_t-0,0.010608582
CASES_MM_28_t-0,0.010337065
TEMP_RANGE_MM_28_t-0,0.009927711
CASES_MM_14_t-0,0.008524918
RH_MAX_t-0,0.0078215785
TEMP_RANGE_MM_7_t-0,0.007805394
TEM_MIN_t-0,0.0060145906
CASES_LAG_2_t-0,0.005566087
CASES_LAG_3_t-0,0.005377218
TEMP_RANGE_MM_21_t-0,0.005107683
CASES_LAG_5_t-0,0.004673965
RAIN_ACC_21_t-0,0.0045309686
TEM_AVG_MM_14_t-0,0.0041840137
RAIN_t-0,0.004069679
TEMP_RANGE_t-0,0.0038936406
TEM_MAX_t-0,0.0038390094
CASES_LAG_6_t-0,0.003522503
TEM_AVG_t-0,0.0031530927
CASES_LAG_1_t-0,0.003143168
RAIN_ACC_28_t-0,0.00291772
RH_MM_21_t-0,0.0027786966
TEM_AVG_MM_28_t-0,0.002099213
RH_MM_7_t-0,0.0018667782
CASES_LAG_4_t-0,0.0018404667
RH_MM_28_t-0,0.0015540456
CASES_MM_21_t-0,0.0012657539
TEMP_RANGE_MM_14_t-0,0.0007511162
CASES_ACC_14_t-0,0.0
CASES_ACC_7_t-0,0.0
CASES_ACC_28_t-0,0.0
CASES_ACC_21_t-0,0.0
IDEAL_TEMP_t-0,0.0
EXTREME_TEMP_t-0,0.0
RAIN_MM_7_t-0,0.0
SIGNIFICANT_RAIN_t-0,0.0
EXTREME_RAIN_t-0,0.0
RAIN_ACC_14_t-0,0.0
RH_MM_14_t-0,0.0
RAIN_MM_14_t-0,0.0
RAIN_MM_21_t-0,0.0
RAIN_MM_28_t-0,0.0
