Feature,Importance
CASES_MM_7_t-0,0.5403305
CASES_LAG_2_t-0,0.11466839
WEEK_OF_YEAR_t-0,0.06995891
RAIN_ACC_7_t-0,0.049663372
CASES_LAG_3_t-0,0.043045238
TEM_MIN_t-0,0.032775033
TEMP_RANGE_t-0,0.021801788
CASES_LAG_1_t-0,0.018701116
CASES_LAG_6_t-0,0.017639618
RH_MM_7_t-0,0.016501479
RAIN_t-0,0.015305245
CASES_LAG_5_t-0,0.015179321
TEM_AVG_MM_7_t-0,0.014067214
TEMP_RANGE_MM_7_t-0,0.0092012435
CASES_LAG_4_t-0,0.007543431
TEM_MAX_t-0,0.005598521
TEM_AVG_t-0,0.0048236153
RH_AVG_t-0,0.0031959808
EXTREME_TEMP_t-0,0.0
SIGNIFICANT_RAIN_t-0,0.0
EXTREME_RAIN_t-0,0.0
IDEAL_TEMP_t-0,0.0
CASES_ACC_7_t-0,0.0
RAIN_MM_7_t-0,0.0
