Feature,Importance
CASES_MM_7_t-0,0.42586845966466647
CASES_ACC_7_t-0,0.4146773661097124
CASES_LAG_1_t-0,0.1009214282068715
CASES_LAG_5_t-0,0.006268852581977517
CASES_LAG_6_t-0,0.006214597812950977
CASES_LAG_4_t-0,0.005115848938469998
CASES_LAG_2_t-0,0.0046079267249124825
CASES_LAG_3_t-0,0.0044848890959792225
CASES_ACC_28_t-0,0.002280444202316954
CASES_MM_28_t-0,0.0022475341115596108
WEEK_OF_YEAR_t-0,0.0018414032591363024
RH_MM_28_t-0,0.0012769218697733717
TEM_AVG_MM_14_t-0,0.0012370299426379759
TEM_AVG_MM_28_t-0,0.001116107789631608
RAIN_t-0,0.0010683316886739593
TEMP_RANGE_MM_28_t-0,0.0010376931576910127
RH_MAX_t-0,0.0010176107967376571
TEM_AVG_MM_7_t-0,0.0009910276147340428
RH_MM_21_t-0,0.0008942169861332107
TEMP_RANGE_t-0,0.0008693211652836661
RH_MM_7_t-0,0.0008689837287576616
RAIN_ACC_7_t-0,0.0008635853648737234
TEM_AVG_t-0,0.0008544491438204103
TEM_MIN_t-0,0.0008519510940529116
RH_MM_14_t-0,0.0008340315454718463
RAIN_MM_7_t-0,0.0008340213095087976
TEMP_RANGE_MM_21_t-0,0.0008147208734988887
RH_AVG_t-0,0.0008145892547851213
RH_MIN_t-0,0.0007927840047274303
TEM_MAX_t-0,0.0007686405485431902
TEM_AVG_MM_21_t-0,0.0007437104628863976
CASES_ACC_14_t-0,0.0007347247653134631
RAIN_ACC_14_t-0,0.0007240940305513061
TEMP_RANGE_MM_7_t-0,0.000719294477368481
CASES_MM_14_t-0,0.0007044995265391285
RAIN_MM_14_t-0,0.0006947772280627096
TEMP_RANGE_MM_14_t-0,0.0005510636075840046
RAIN_ACC_28_t-0,0.0004835824470062638
CASES_MM_21_t-0,0.0004778113427053192
RAIN_MM_28_t-0,0.0004647973730534533
CASES_ACC_21_t-0,0.0004539398327607437
RAIN_ACC_21_t-0,0.00040089460849978783
RAIN_MM_21_t-0,0.0003879298515568554
IDEAL_TEMP_t-0,4.77464594927432e-05
SIGNIFICANT_RAIN_t-0,4.565348602784753e-05
EXTREME_RAIN_t-0,1.9260298790326657e-05
EXTREME_TEMP_t-0,1.1451613911168496e-05
