Feature,Importance
CASES_MM_7_t-0,0.74296683
CASES_LAG_1_t-0,0.07468549
CASES_LAG_5_t-0,0.019174691
CASES_LAG_6_t-0,0.016107554
CASES_LAG_3_t-0,0.015496668
CASES_LAG_4_t-0,0.012678134
CASES_LAG_2_t-0,0.0112274
WEEK_OF_YEAR_t-0,0.0076328684
RH_MM_21_t-0,0.0058164904
TEM_AVG_MM_14_t-0,0.0056720315
TEM_AVG_MM_7_t-0,0.0056673815
RAIN_ACC_7_t-0,0.0050673196
TEM_AVG_MM_21_t-0,0.004686052
TEMP_RANGE_MM_7_t-0,0.004533398
RAIN_ACC_14_t-0,0.0043031103
TEMP_RANGE_MM_21_t-0,0.0042464747
RH_MM_28_t-0,0.004011912
TEM_AVG_MM_28_t-0,0.003939263
TEMP_RANGE_MM_28_t-0,0.0038316762
RAIN_ACC_21_t-0,0.0038106272
RAIN_ACC_28_t-0,0.0037354354
RH_MAX_t-0,0.0036828127
CASES_MM_28_t-0,0.0036131134
RH_MM_7_t-0,0.0030951975
TEMP_RANGE_t-0,0.0030402392
CASES_MM_14_t-0,0.002960556
TEM_MIN_t-0,0.0027506896
RH_MM_14_t-0,0.0026988653
RH_AVG_t-0,0.0026636848
TEM_MAX_t-0,0.0025509503
RAIN_t-0,0.002480359
CASES_MM_21_t-0,0.0023333963
RH_MIN_t-0,0.0022361358
TEMP_RANGE_MM_14_t-0,0.002071266
SIGNIFICANT_RAIN_t-0,0.0017582258
IDEAL_TEMP_t-0,0.0014309828
TEM_AVG_t-0,0.0013426628
CASES_ACC_14_t-0,0.0
CASES_ACC_7_t-0,0.0
CASES_ACC_28_t-0,0.0
CASES_ACC_21_t-0,0.0
EXTREME_TEMP_t-0,0.0
EXTREME_RAIN_t-0,0.0
RAIN_MM_7_t-0,0.0
RAIN_MM_14_t-0,0.0
RAIN_MM_21_t-0,0.0
RAIN_MM_28_t-0,0.0
