Feature,Importance
CASES_MM_7_t-0,0.64842886
CASES_LAG_1_t-0,0.108165175
CASES_LAG_6_t-0,0.021211991
CASES_LAG_5_t-0,0.013953324
CASES_LAG_4_t-0,0.013870835
CASES_LAG_3_t-0,0.011379536
TEM_AVG_MM_28_t-0,0.011160068
CASES_LAG_2_t-0,0.009065981
TEM_AVG_MM_7_t-0,0.008933154
WEEK_OF_YEAR_t-0,0.008814546
CASES_MM_14_t-0,0.008807441
RH_MM_21_t-0,0.00876036
TEM_AVG_MM_14_t-0,0.008502575
CASES_MM_21_t-0,0.008066924
RH_MM_28_t-0,0.007466124
TEMP_RANGE_MM_7_t-0,0.0073273685
TEM_AVG_MM_21_t-0,0.007286261
RH_MM_7_t-0,0.007074878
RH_MM_14_t-0,0.007011392
RAIN_ACC_7_t-0,0.006752556
TEMP_RANGE_MM_21_t-0,0.0066208676
RAIN_ACC_14_t-0,0.0062209317
RAIN_ACC_21_t-0,0.00591107
TEMP_RANGE_t-0,0.0055217682
TEMP_RANGE_MM_28_t-0,0.0049841767
RH_MAX_t-0,0.00448905
CASES_MM_28_t-0,0.004421287
SIGNIFICANT_RAIN_t-0,0.0042145634
RAIN_ACC_28_t-0,0.0037508705
RH_AVG_t-0,0.0034810062
RH_MIN_t-0,0.003415781
RAIN_t-0,0.0032543347
TEM_MAX_t-0,0.003176996
TEM_MIN_t-0,0.0029623592
TEMP_RANGE_MM_14_t-0,0.0028851205
TEM_AVG_t-0,0.0018594284
IDEAL_TEMP_t-0,0.00079097255
CASES_ACC_14_t-0,0.0
CASES_ACC_7_t-0,0.0
CASES_ACC_28_t-0,0.0
CASES_ACC_21_t-0,0.0
EXTREME_TEMP_t-0,0.0
EXTREME_RAIN_t-0,0.0
RAIN_MM_7_t-0,0.0
RAIN_MM_14_t-0,0.0
RAIN_MM_21_t-0,0.0
RAIN_MM_28_t-0,0.0
