Feature,Importance
CASES_MM_7_t-0,0.38072717
RH_MM_28_t-0,0.0843544
WEEK_OF_YEAR_t-0,0.07822913
CASES_LAG_2_t-0,0.07458317
TEMP_RANGE_MM_28_t-0,0.07157715
CASES_LAG_3_t-0,0.045878522
RH_MM_14_t-0,0.036355957
TEM_AVG_MM_21_t-0,0.026075706
RAIN_ACC_7_t-0,0.0144779505
CASES_MM_28_t-0,0.012992443
RAIN_t-0,0.012126369
CASES_LAG_1_t-0,0.012058227
RAIN_ACC_28_t-0,0.010992746
RH_MM_21_t-0,0.010983583
RH_MIN_t-0,0.010738588
TEMP_RANGE_MM_14_t-0,0.009194299
CASES_LAG_4_t-0,0.0087661315
RH_MAX_t-0,0.008497906
TEM_AVG_MM_28_t-0,0.008425678
RAIN_ACC_14_t-0,0.007953548
TEM_MIN_t-0,0.0076589733
CASES_LAG_5_t-0,0.0073314225
TEM_AVG_MM_7_t-0,0.0072383145
CASES_MM_14_t-0,0.006317668
CASES_LAG_6_t-0,0.0058900192
RAIN_ACC_21_t-0,0.0058231163
RH_AVG_t-0,0.0048446967
TEMP_RANGE_t-0,0.004813032
RH_MM_7_t-0,0.0040929327
SIGNIFICANT_RAIN_t-0,0.0039956747
TEM_MAX_t-0,0.003638335
CASES_MM_21_t-0,0.0031773273
TEMP_RANGE_MM_7_t-0,0.0031570382
TEM_AVG_t-0,0.0031473434
TEMP_RANGE_MM_21_t-0,0.001952133
TEM_AVG_MM_14_t-0,0.0019333129
CASES_ACC_14_t-0,0.0
RAIN_MM_28_t-0,0.0
CASES_ACC_7_t-0,0.0
RAIN_MM_7_t-0,0.0
RAIN_MM_21_t-0,0.0
CASES_ACC_28_t-0,0.0
IDEAL_TEMP_t-0,0.0
EXTREME_TEMP_t-0,0.0
RAIN_MM_14_t-0,0.0
EXTREME_RAIN_t-0,0.0
CASES_ACC_21_t-0,0.0
