Feature,Importance
CASES_MM_14_t-0,0.17369285002019982
CASES_ACC_14_t-0,0.16107988631348297
CASES_ACC_21_t-0,0.13560681439975936
CASES_MM_21_t-0,0.12855788416605235
CASES_MM_28_t-0,0.09528303555747912
CASES_ACC_28_t-0,0.09186029512834715
CASES_MM_7_t-0,0.07743932112066723
CASES_ACC_7_t-0,0.07620785541045176
CASES_LAG_6_t-0,0.031106395542663468
CASES_LAG_5_t-0,0.014375327393833992
CASES_LAG_1_t-0,0.005739098913382334
CASES_LAG_4_t-0,0.003684971931315739
CASES_LAG_3_t-0,0.0027456577621146642
CASES_LAG_2_t-0,0.00262060634025012
