Feature,Importance
CASES_ACC_7_t-0,0.2101152088913628
CASES_MM_7_t-0,0.18520412041312398
CASES_LAG_1_t-0,0.14665093622098227
CASES_MM_14_t-0,0.10686021172196428
CASES_ACC_14_t-0,0.09971558422834852
CASES_LAG_2_t-0,0.07522535817143626
CASES_ACC_21_t-0,0.045446065719125926
CASES_MM_21_t-0,0.03974648595507415
CASES_LAG_3_t-0,0.03548231532663166
CASES_ACC_28_t-0,0.018356754416703876
CASES_MM_28_t-0,0.015672450084273634
CASES_LAG_4_t-0,0.010833066645801935
CASES_LAG_5_t-0,0.005346818671205307
CASES_LAG_6_t-0,0.005344623533965426
