Feature,Importance
CASES_MM_21_t-0,0.17872265
RH_MM_28_t-0,0.12909245
CASES_MM_14_t-0,0.064216934
RAIN_ACC_14_t-0,0.05232081
TEM_AVG_MM_28_t-0,0.047496893
TEMP_RANGE_MM_28_t-0,0.037757415
CASES_MM_7_t-0,0.03545809
TEM_AVG_MM_14_t-0,0.034246266
RH_AVG_t-0,0.026131172
CASES_LAG_5_t-0,0.02565985
TEMP_RANGE_MM_21_t-0,0.025366366
RAIN_ACC_21_t-0,0.022908974
CASES_MM_28_t-0,0.022008257
TEM_AVG_MM_7_t-0,0.019512309
RH_MAX_t-0,0.019462956
TEMP_RANGE_MM_14_t-0,0.017955735
TEMP_RANGE_t-0,0.017057162
RH_MM_21_t-0,0.017056072
RH_MIN_t-0,0.016451256
TEM_MIN_t-0,0.016058022
TEMP_RANGE_MM_7_t-0,0.015703125
RAIN_ACC_28_t-0,0.015675204
RH_MM_14_t-0,0.015367675
CASES_LAG_1_t-0,0.014718697
WEEK_OF_YEAR_t-0,0.014302575
CASES_LAG_3_t-0,0.014063192
CASES_LAG_2_t-0,0.014012003
TEM_AVG_MM_21_t-0,0.013555247
RAIN_ACC_7_t-0,0.012634908
TEM_AVG_t-0,0.008797368
TEM_MAX_t-0,0.008552798
CASES_LAG_6_t-0,0.008500037
RH_MM_7_t-0,0.008214464
RAIN_t-0,0.007848807
CASES_LAG_4_t-0,0.0031142803
CASES_ACC_28_t-0,0.0
CASES_ACC_21_t-0,0.0
CASES_ACC_14_t-0,0.0
CASES_ACC_7_t-0,0.0
RAIN_MM_7_t-0,0.0
SIGNIFICANT_RAIN_t-0,0.0
EXTREME_RAIN_t-0,0.0
EXTREME_TEMP_t-0,0.0
IDEAL_TEMP_t-0,0.0
RAIN_MM_14_t-0,0.0
RAIN_MM_21_t-0,0.0
RAIN_MM_28_t-0,0.0
