local,resolution,features,metric,best_model,best_mean
RJ,DAILY,CASEONLY,MAE,xgb_zip,0.045412669373670625
RJ,DAILY,CASEONLY,Poisson_Deviance,rf,1.0597667535616817
RJ,DAILY,CASEONLY,R2,xgb_poisson,0.35788943854010985
RJ,DAILY,CASEONLY,RMSE,xgb_poisson,0.3843537455538016
RJ,DAILY,CASEONLY,Spearman,xgb_poisson,0.38045734686568555
RJ,DAILY,FULL,MAE,xgb_zip,0.045519908378326056
RJ,DAILY,FULL,Poisson_Deviance,rf,1.0637132456058993
RJ,DAILY,FULL,R2,xgb_poisson,0.3591526835888981
RJ,DAILY,FULL,RMSE,xgb_poisson,0.38397533285356106
RJ,DAILY,FULL,Spearman,xgb_poisson,0.3794917516524695
RJ,WEEKLY,CASEONLY,MAE,rf,0.23900361574059428
RJ,WEEKLY,CASEONLY,Poisson_Deviance,rf,2.694838771976097
RJ,WEEKLY,CASEONLY,R2,xgb_poisson,0.681228438522399
RJ,WEEKLY,CASEONLY,RMSE,xgb_poisson,1.3004247516356489
RJ,WEEKLY,CASEONLY,Spearman,rf,0.6141103677763204
RJ,WEEKLY,FULL,MAE,rf,0.23485131189188616
RJ,WEEKLY,FULL,Poisson_Deviance,rf,2.7486135452851035
RJ,WEEKLY,FULL,R2,rf,0.6891129925958894
RJ,WEEKLY,FULL,RMSE,rf,1.2842672690021089
RJ,WEEKLY,FULL,Spearman,rf,0.6191012557117073
RN,DAILY,CASEONLY,MAE,xgb_poisson,0.07761643835616432
RN,DAILY,CASEONLY,Poisson_Deviance,rf,1.8377878274715875
RN,DAILY,CASEONLY,R2,rf,0.1819801766050027
RN,DAILY,CASEONLY,RMSE,rf,0.5041986350037139
RN,DAILY,CASEONLY,Spearman,rf,0.3562422029366833
RN,DAILY,FULL,MAE,xgb_poisson,0.07689041095890406
RN,DAILY,FULL,Poisson_Deviance,xgb_zip,1.2807323085638453
RN,DAILY,FULL,R2,rf,0.16571499097978698
RN,DAILY,FULL,RMSE,rf,0.5091778492195191
RN,DAILY,FULL,Spearman,rf,0.3634329255466735
RN,WEEKLY,CASEONLY,MAE,rf,0.4056862745098039
RN,WEEKLY,CASEONLY,Poisson_Deviance,rf,4.539976689340454
RN,WEEKLY,CASEONLY,R2,rf,0.5772193560762855
RN,WEEKLY,CASEONLY,RMSE,rf,1.4326925176389427
RN,WEEKLY,CASEONLY,Spearman,rf,0.5740262277958936
RN,WEEKLY,FULL,MAE,rf,0.4375490196078431
RN,WEEKLY,FULL,Poisson_Deviance,rf,4.312710192834885
RN,WEEKLY,FULL,R2,rf,0.5431957919817464
RN,WEEKLY,FULL,RMSE,rf,1.489238915866257
RN,WEEKLY,FULL,Spearman,xgb_poisson,0.5798804906678348
