local,resolution,features,stage,seed,model,MSE,RMSE,MAE,R2,MAPE (ign. zeros),SMAPE,Poisson_Deviance,Pearson,Spearman
RJ,DAILY,CASEONLY,BASELINE_METHOD_CORRECTED_V2,987,rf,0.1482352416224175,0.3850133005785872,0.0479303318310948,0.3556868408526883,80.9760018002164,5.757616124906666,1.0656397669301434,0.5982191972583781,0.3760826524907188
RJ,DAILY,CASEONLY,BASELINE_METHOD_CORRECTED_V2,987,xgb_poisson,0.153603141314533,0.3919223664382182,0.047274403938542,0.3323549504684671,81.02206180782765,5.652097876073021,1.0859752831049645,0.5793290130059885,0.3776361086136223
RJ,DAILY,CASEONLY,BASELINE_METHOD_CORRECTED_V2,987,xgb_zip,0.1659958651257567,0.4074259013928259,0.0461112846370086,0.2784892506398907,97.5454419052375,4.848612995068575,1.5491583649815326,0.5461372242626643,0.3049923305069801
RJ,DAILY,CASEONLY,METHOD_CORRECTED_V2,107,rf,0.1484747073609685,0.3853241588078387,0.047955617033302,0.3546459889957032,80.83499947981193,5.765063718580494,1.059756215628748,0.5971003821896022,0.3776058613822752
RJ,DAILY,CASEONLY,METHOD_CORRECTED_V2,107,xgb_poisson,0.1482129311498817,0.384984325849614,0.0473636458286853,0.3557838146281838,80.65165252958336,5.698274520004895,1.0636107685012122,0.5990406154917246,0.3800061871341552
RJ,DAILY,CASEONLY,METHOD_CORRECTED_V2,107,xgb_zip,0.1609135394820995,0.4011402990003617,0.0454137105290556,0.3005798766977694,95.39523869018966,4.8355666019267325,1.4958324803978071,0.5525684260093177,0.3187037518951719
RJ,DAILY,CASEONLY,METHOD_CORRECTED_V2,109,rf,0.1483185340532179,0.3851214536392616,0.0479928011541951,0.3553248054241718,80.55072546996217,5.780863073838496,1.056951542079703,0.5976359041251685,0.377910713385023
RJ,DAILY,CASEONLY,METHOD_CORRECTED_V2,109,xgb_poisson,0.1484271116862255,0.3852623932934871,0.047375544747371,0.3548528663834269,80.84477489996806,5.687071163539632,1.0668053218974922,0.5982611538941502,0.3797397029313383
RJ,DAILY,CASEONLY,METHOD_CORRECTED_V2,109,xgb_zip,0.162124254458376,0.4026465627052789,0.0455208007972275,0.2953174331475461,95.19226244592552,4.839699606780652,1.4928582140887183,0.5479337542102041,0.3191021806525361
RJ,DAILY,CASEONLY,METHOD_CORRECTED_V2,140,rf,0.1477934942662085,0.3844391944979187,0.0479258697365876,0.3576069216074996,80.67640005778179,5.775468324063414,1.060653308085853,0.5995555438426237,0.3769588234275478
