dataset,model,trial_number,weighted_score,values,params
RJ_DAILY_CASESONLY,poisson,8,0.2362113748030492,"[0.07906919018624668, 0.2811924433306249, 0.02126664987094794, -0.28316725431921286, 82.90990041101325, 2.4058330089055375, -0.3734043429980666, 0.08495121802174187]","{""colsample_bytree"": 0.5443496501994806, ""learning_rate"": 0.04350922931634122, ""max_depth"": 6, ""n_estimators"": 718, ""reg_alpha"": 0.009382217103817616, ""reg_lambda"": 0.0024856083236188507, ""subsample"": 0.5924626713290091}"
RJ_DAILY_CASESONLY,rf,6,0.15176443203078147,"[0.07990971929597698, 0.2826830721779728, 0.021656815903316112, -0.275547108113929, 83.08241604088255, 2.4404726468862292, -0.37195486167011615, 0.4453701001473154]","{""max_depth"": 8, ""min_samples_leaf"": 4, ""min_samples_split"": 5, ""n_estimators"": 204}"
RJ_DAILY_CASESONLY,zip,5,0.19388959985436227,"[0.08391393754816692, 0.2896790250400724, 0.020082774652733653, -0.2392452975444601, 96.31717857027046, 1.9518439093344915, -0.3359069883189375, 0.6109326552384667]","{""clf_colsample"": 0.8674100556495268, ""clf_learning_rate"": 0.017089769455901117, ""clf_max_depth"": 6, ""clf_n_estimators"": 616, ""clf_subsample"": 0.8865970905948907, ""reg_alpha"": 0.004823104876272679, ""reg_colsample"": 0.4884433422729106, ""reg_lambda"": 0.003638379767363393, ""reg_learning_rate"": 0.0777066845476099, ""reg_max_depth"": 42, ""reg_n_estimators"": 682, ""reg_subsample"": 0.8839950592463862}"
RJ_DAILY,poisson,6,0.2779373523660912,"[0.07914796656611531, 0.28133248402222466, 0.021340967210446638, -0.2824530761602738, 82.43813932472557, 2.416622279681962, -0.3761133542355941, 0.0845225952738471]","{""colsample_bytree"": 0.6563160646188646, ""learning_rate"": 0.03939086626730322, ""max_depth"": 4, ""n_estimators"": 508, ""reg_alpha"": 5.08103583498613e-05, ""reg_lambda"": 0.003843751949948807, ""subsample"": 0.6115796885498546}"
RJ_DAILY,rf,7,0.2637486981477102,"[0.07999815692998043, 0.28283945433758073, 0.021764576045589228, -0.27474534206757295, 83.11495496688796, 2.457433895085647, -0.36902826689670365, 0.4430253702190968]","{""max_depth"": 14, ""min_samples_leaf"": 11, ""min_samples_split"": 4, ""n_estimators"": 420}"
RJ_DAILY,zip,9,0.23057044295263512,"[0.08465711094315392, 0.2909589506152954, 0.020079801959153702, -0.23250776774314807, 96.65760012575775, 1.956027536026144, -0.3239770732797289, 0.6242534802984225]","{""clf_colsample"": 0.49493837214713077, ""clf_learning_rate"": 0.01075874813449586, ""clf_max_depth"": 25, ""clf_n_estimators"": 292, ""clf_subsample"": 0.8245370952412249, ""reg_alpha"": 2.9293029925762652e-05, ""reg_colsample"": 0.49063711865386406, ""reg_lambda"": 0.00011986759545195177, ""reg_learning_rate"": 0.026766249894073422, ""reg_max_depth"": 40, ""reg_n_estimators"": 525, ""reg_subsample"": 0.855513779161753}"
RJ_WEEKLY_CASESONLY,poisson,3,0.1474584112943431,"[0.983426250730811, 0.9916785016984139, 0.11608932598346279, -0.5803093083768873, 80.22030656753442, 8.517291173630618, -0.5486781861106275, 0.3141224872404927]","{""colsample_bytree"": 0.5291455055881833, ""learning_rate"": 0.026727137941371954, ""max_depth"": 7, ""n_estimators"": 431, ""reg_alpha"": 0.626198643858595, ""reg_lambda"": 0.000724726439629266, ""subsample"": 0.6246081262755327}"
RJ_WEEKLY_CASESONLY,rf,6,0.24325568947941548,"[1.016009980790111, 1.0079732044008467, 0.11815647707341519, -0.5664037529841102, 80.96926202309658, 8.603452974004007, -0.547716729747728, 1.3386806882882434]","{""max_depth"": 7, ""min_samples_leaf"": 2, ""min_samples_split"": 8, ""n_estimators"": 179}"
RJ_WEEKLY_CASESONLY,zip,0,0.2418330667752677,"[1.034770942954982, 1.0172369158435914, 0.1173108243547983, -0.5583972540924663, 100.53930921213912, 7.076946364518266, -0.527303892578321, 2.108683893691851]","{""clf_colsample"": 0.49776601382149066, ""clf_learning_rate"": 0.025805438522578987, ""clf_max_depth"": 6, ""clf_n_estimators"": 773, ""clf_subsample"": 0.6023241596718384, ""reg_alpha"": 0.1570782221152755, ""reg_colsample"": 0.6832141673854971, ""reg_lambda"": 4.684995494540272e-06, ""reg_learning_rate"": 0.0638322976692516, ""reg_max_depth"": 44, ""reg_n_estimators"": 652, ""reg_subsample"": 0.6231068844779075}"
RJ_WEEKLY,poisson,3,0.20124455744578496,"[1.021480623068571, 1.0106832456653128, 0.10841581057379103, -0.5640690810758067, 79.01654365576647, 7.573270804084976, -0.5480903161599492, 0.32286555945242135]","{""colsample_bytree"": 0.7334212854660223, ""learning_rate"": 0.048961800018729185, ""max_depth"": 22, ""n_estimators"": 343, ""reg_alpha"": 5.898866828510267, ""reg_lambda"": 2.13695918816031e-06, ""subsample"": 0.5280227137103088}"
