dataset,model,trial_number,weighted_score,values,params
RJ_DAILY_CASESONLY,poisson,7,0.2374975811626322,"[0.07518093741755963, 0.2741914247702864, 0.021053844565501596, -0.2680920870585297, 83.3668135861773, 2.429975880867226, -0.3596158993026929, 0.0872310059809781]","{""colsample_bytree"": 0.6100510230164093, ""learning_rate"": 0.02418865945241291, ""max_depth"": 9, ""n_estimators"": 403, ""reg_alpha"": 0.03806380207475367, ""reg_lambda"": 0.0018860884439096282, ""subsample"": 0.7533938090355551}"
RJ_DAILY_CASESONLY,rf,6,0.24336948196441685,"[0.07580507133669363, 0.27532720776685626, 0.02153642233802789, -0.2620159649743875, 83.97266440825027, 2.469533998768593, -0.3566846192382771, 0.4649677904634011]","{""max_depth"": 11, ""min_samples_leaf"": 7, ""min_samples_split"": 5, ""n_estimators"": 168}"
RJ_DAILY_CASESONLY,zip,0,0.2717525531777675,"[0.08030094134837494, 0.2833742072743653, 0.0198903934266473, -0.21824738546293743, 96.88739642676869, 1.9750066758540616, -0.31750623479955337, 0.6333576940427602]","{""clf_colsample"": 0.6796858201093094, ""clf_learning_rate"": 0.027481014018125787, ""clf_max_depth"": 6, ""clf_n_estimators"": 426, ""clf_subsample"": 0.7152382924622109, ""reg_alpha"": 0.00041482256786834124, ""reg_colsample"": 0.7233239280041225, ""reg_lambda"": 0.18741464876069217, ""reg_learning_rate"": 0.05472841847144349, ""reg_max_depth"": 35, ""reg_n_estimators"": 870, ""reg_subsample"": 0.7112765729940113}"
RJ_DAILY,poisson,6,0.2777777777777778,"[0.07968143489168378, 0.28227900186107324, 0.021399567962551703, -0.2832185019579133, 82.48483178490864, 2.4202298778543407, -0.3760300284668805, 0.0847568793338141]","{""colsample_bytree"": 0.6563160646188646, ""learning_rate"": 0.03939086626730322, ""max_depth"": 4, ""n_estimators"": 508, ""reg_alpha"": 5.08103583498613e-05, ""reg_lambda"": 0.003843751949948807, ""subsample"": 0.6115796885498546}"
RJ_DAILY,rf,7,0.23481658982394127,"[0.0808740461572383, 0.28438362498083164, 0.02151019137091953, -0.2724902602957484, 83.47348554150197, 2.405254637294766, -0.3679725848542889, 0.45512415013258206]","{""max_depth"": 7, ""min_samples_leaf"": 5, ""min_samples_split"": 5, ""n_estimators"": 302}"
RJ_DAILY,zip,1,0.2777777777777778,"[0.08520805914260797, 0.29190419514389987, 0.020188772027128498, -0.23350325755903745, 96.72608125672653, 1.9611690634802097, -0.32514379347393246, 0.6283986972654794]","{""clf_colsample"": 0.533158580197615, ""clf_learning_rate"": 0.015298769261200886, ""clf_max_depth"": 22, ""clf_n_estimators"": 461, ""clf_subsample"": 0.649320735109815, ""reg_alpha"": 2.1075590002029756e-05, ""reg_colsample"": 0.6435043717123337, ""reg_lambda"": 0.003013506914509755, ""reg_learning_rate"": 0.0317405825881789, ""reg_max_depth"": 48, ""reg_n_estimators"": 672, ""reg_subsample"": 0.8117302068988806}"
RJ_WEEKLY_CASESONLY,poisson,1,0.11871671396007516,"[0.9771086401800558, 0.9884880576820622, 0.10862628685749746, -0.5125987371300775, 80.56369396858715, 7.993568828434301, -0.5328291867956964, 0.3012905185566743]","{""colsample_bytree"": 0.8475938196400065, ""learning_rate"": 0.04414821782453069, ""max_depth"": 25, ""n_estimators"": 360, ""reg_alpha"": 9.733241210190826, ""reg_lambda"": 1.8974405213582007e-05, ""subsample"": 0.5988331133747773}"
RJ_WEEKLY_CASESONLY,rf,0,0.30383387521364047,"[1.0739164463051039, 1.0362993999347407, 0.12116721390431291, -0.4643090741174567, 85.21665457410828, 8.759489684216126, -0.5280675346898279, 1.2875656262382986]","{""max_depth"": 22, ""min_samples_leaf"": 11, ""min_samples_split"": 6, ""n_estimators"": 444}"
RJ_WEEKLY_CASESONLY,zip,6,0.30504484279697275,"[0.9851944816216142, 0.9925696356536473, 0.11137714013142966, -0.5085653582733975, 100.85318375214341, 6.990893250738453, -0.4955706739706803, 2.093094157883847]","{""clf_colsample"": 0.7297090680575837, ""clf_learning_rate"": 0.015535845239489518, ""clf_max_depth"": 20, ""clf_n_estimators"": 336, ""clf_subsample"": 0.6893662768686296, ""reg_alpha"": 0.016822204991260376, ""reg_colsample"": 0.8614273486149667, ""reg_lambda"": 0.0008329096305890895, ""reg_learning_rate"": 0.01867720637191463, ""reg_max_depth"": 21, ""reg_n_estimators"": 712, ""reg_subsample"": 0.4431802306835215}"
RJ_WEEKLY,poisson,5,0.26961499709670195,"[1.0946604999370129, 1.0462602448420817, 0.11010731789251414, -0.5132113707469277, 79.52485072192884, 7.86070905546511, -0.5394607156348066, 0.29502217023741156]","{""colsample_bytree"": 0.5511350663971706, ""learning_rate"": 0.03958983871899335, ""max_depth"": 9, ""n_estimators"": 359, ""reg_alpha"": 0.004625899587615341, ""reg_lambda"": 6.552078902823446e-05, ""subsample"": 0.5316866797043606}"
RJ_WEEKLY,rf,8,0.28821527770178523,"[1.1252541976352872, 1.060779994926039, 0.11876953347610392, -0.49960654608468524, 79.03390760251813, 8.789620794406664, -0.5252151702671178, 1.2247778230853967]","{""max_depth"": 10, ""min_samples_leaf"": 5, ""min_samples_split"": 4, ""n_estimators"": 275}"
RJ_WEEKLY,zip,6,0.2944334990529739,"[1.0988716324437167, 1.0482707820232884, 0.11253081865135782, -0.5113387066463602, 97.12247119142243, 6.827610704887224, -0.5195928598293086, 1.8215743191405966]","{""clf_colsample"": 0.6584561885684741, ""clf_learning_rate"": 0.011224499291528574, ""clf_max_depth"": 25, ""clf_n_estimators"": 757, ""clf_subsample"": 0.7251550845771214, ""reg_alpha"": 0.24671335195566596, ""reg_colsample"": 0.7212503064091872, ""reg_lambda"": 2.3853930200012794e-05, ""reg_learning_rate"": 0.01740573036733385, ""reg_max_depth"": 15, ""reg_n_estimators"": 457, ""reg_subsample"": 0.5073378917648422}"
RN_DAILY_CASESONLY,poisson,3,0.10448672042051488,"[4.630206963903392, 2.151791570738995, 0.29613492093302785, -0.13730200126038206, 77.66266449628797, 12.955724200753622, -0.6011493829076479, 1.0334061216979495]","{""colsample_bytree"": 0.7453396153188557, ""learning_rate"": 0.029813989350002457, ""max_depth"": 20, ""n_estimators"": 426, ""reg_alpha"": 5.081025288377805, ""reg_lambda"": 5.423865013388811e-05, ""subsample"": 0.5474045102326708}"
RN_DAILY_CASESONLY,rf,7,0.11077771504561097,"[2.853021823235548, 1.6890890513041485, 0.2543665251849904, -0.4684263065444437, 78.91610563202855, 12.443448209103623, -0.6188481197022008, 1.6264584053236584]","{""max_depth"": 16, ""min_samples_leaf"": 5, ""min_samples_split"": 6, ""n_estimators"": 234}"
